Date,USDJPY,VOO,QQQ,N225
2017-02-03,112.78900146484375,186.9910888671875,119.80362701416016,167.73088663832874
2017-02-04,112.73900095621745,186.86089579264322,119.85129801432292,167.97827694388135
2017-02-05,112.68900044759114,186.73070271809897,119.89896901448567,168.2258867853436
2017-02-06,112.63899993896484,186.6005096435547,119.94664001464844,168.4737164550717
2017-02-07,111.8270034790039,186.64491271972656,120.38510131835938,169.10744908250712
2017-02-08,112.38700103759766,186.8845977783203,120.58528137207031,169.126317402279
2017-02-09,111.9520034790039,187.9498748779297,121.02377319335938,168.8908579954181
2017-02-10,113.43399810791016,188.70443725585938,121.42414855957031,170.83881385424462
2017-02-11,113.59399922688802,189.03882344563803,121.65292612711589,170.83358323457657
2017-02-12,113.75400034586589,189.37320963541666,121.88170369466145,170.8283673292042
2017-02-13,113.91400146484375,189.7075958251953,122.11048126220703,170.82316607612543
2017-02-14,113.70500183105469,190.49761962890625,122.52037811279297,169.200828098448
2017-02-15,114.3010025024414,191.46524047851562,123.2448501586914,170.0595799090635
2017-02-16,114.11199951171875,191.31431579589844,123.20669555664062,169.54859593787157
2017-02-17,113.30500030517578,191.60728454589844,123.74052429199219,169.75966717107332
2017-02-18,113.17366790771484,191.88914489746094,123.89304161071777,170.00514762392095
2017-02-19,113.0423355102539,192.17100524902344,124.04555892944336,170.2511984743326
2017-02-20,112.91100311279297,192.45286560058594,124.19807624816895,170.49782171268149
2017-02-21,113.27999877929688,192.73472595214844,124.35059356689453,171.09321735504082
2017-02-22,113.66899871826172,192.64593505859375,124.39825439453125,170.4938845169179
2017-02-23,113.41699981689453,192.75245666503906,123.9311752319336,170.7985660771679
2017-02-24,112.68199920654297,192.98326110839844,124.16950225830078,171.13238315157872
2017-02-25,112.517333984375,193.0779571533203,124.2203369140625,170.86122580939136
2017-02-26,112.35266876220703,193.1726531982422,124.27117156982422,170.58927364524763
2017-02-27,112.18800354003906,193.26734924316406,124.32200622558594,170.31652315932055
2017-02-28,112.74500274658203,192.69918823242188,123.94070434570312,169.57727410188573
2017-03-01,113.0770034790039,195.43341064453125,125.2943344116211,171.50736635942943
2017-03-02,114.12100219726562,194.28823852539062,124.66516876220703,171.4390901284845
2017-03-03,114.34200286865234,194.39476013183594,124.89395904541016,170.271373890833
2017-03-04,114.177001953125,194.19354248046875,124.8018086751302,170.25460314880823
2017-03-05,114.01200103759766,193.99232482910156,124.70965830485027,170.23778386473944
2017-03-06,113.84700012207031,193.79110717773438,124.61750793457031,170.22091582756752
2017-03-07,113.91699981689453,193.2052001953125,124.4078140258789,169.80916300216813
2017-03-08,113.9260025024414,192.79681396484375,124.62705993652344,169.00469492434257
2017-03-09,114.41100311279297,193.0010223388672,124.72235870361328,168.85246656809423
2017-03-10,115.14900207519531,193.6757049560547,125.24663543701172,170.25427074216134
2017-03-11,115.01000213623047,193.71417236328125,125.31654612223308,170.54449658589965
2017-03-12,114.87100219726562,193.7526397705078,125.38645680745442,170.83542480663115
2017-03-13,114.73200225830078,193.79110717773438,125.45636749267578,171.12705795718398
2017-03-14,114.91500091552734,193.13417053222656,125.15131378173828,170.6435177633137
2017-03-15,114.65899658203125,194.74095153808594,125.9234390258789,170.7443937499368
2017-03-16,113.4020004272461,194.41249084472656,125.83768463134766,172.7495154511688
2017-03-17,113.33999633789062,194.0218963623047,125.793701171875,172.2391959988422
2017-03-18,113.11799875895183,193.96568298339844,125.83192189534505,172.431998547116
2017-03-19,112.89600118001302,193.9094696044922,125.87014261881511,172.6255593454338
2017-03-20,112.67400360107422,193.85325622558594,125.90836334228516,172.81988287565477
2017-03-21,112.572998046875,191.37649536132812,123.99789428710938,172.829019364605
2017-03-22,111.53199768066406,191.7671356201172,124.83850860595703,170.7257222621786
2017-03-23,111.36900329589844,191.57095336914062,124.52330017089844,171.3700399757271
2017-03-24,111.00399780273438,191.5084991455078,124.78118133544922,173.5300500717687
2017-03-25,110.85333251953125,191.4044443766276,124.8480453491211,172.93315149055832
2017-03-26,110.70266723632812,191.3003896077474,124.91490936279297,172.33462816269954
2017-03-27,110.552001953125,191.1963348388672,124.98177337646484,171.734473445357
2017-03-28,110.77100372314453,192.6143798828125,125.74593353271484,173.35646058258789
2017-03-29,111.22599792480469,192.89976501464844,126.32866668701172,172.7786742964729
2017-03-30,111.15399932861328,193.4170379638672,126.5387954711914,171.50278728853388
2017-03-31,111.7760009765625,192.9532928466797,126.45287322998047,169.17101703781606
2017-04-01,111.60566711425781,192.8730265299479,126.42738850911458,169.65013655877183
2017-04-02,111.43533325195312,192.79276021321616,126.4019037882487,170.13072079071515
2017-04-03,111.26499938964844,192.71249389648438,126.37641906738281,170.6127764605561
2017-04-04,110.70899963378906,192.81947326660156,126.5770034790039,169.9071445160001
