,Date,SPXL,VOO
0,2011-01-01,,
1,2011-01-02,,
2,2011-01-03,5.692715644836426,91.60609436035156
3,2011-01-04,5.664843559265137,91.52728271484375
4,2011-01-05,5.7523298263549805,92.01594543457031
5,2011-01-06,5.722909450531006,91.85833740234375
6,2011-01-07,5.695038318634033,91.66915130615234
7,2011-01-08,5.690393129984538,91.6428705851237
8,2011-01-09,5.685747941335042,91.61658986409505
9,2011-01-10,5.681102752685547,91.5903091430664
10,2011-01-11,5.744586944580078,91.88985443115234
11,2011-01-12,5.904073238372803,92.70956420898438
12,2011-01-13,5.878523826599121,92.58348083496094
13,2011-01-14,5.986912727355957,93.24555206298828
14,2011-01-15,6.000461220741272,93.28496551513672
15,2011-01-16,6.014009714126587,93.32437896728516
16,2011-01-17,6.027558207511902,93.3637924194336
17,2011-01-18,6.041106700897217,93.40320587158203
18,2011-01-19,5.8467817306518555,92.47312927246094
19,2011-01-20,5.809620380401611,92.3627700805664
20,2011-01-21,5.847556114196777,92.56771850585938
21,2011-01-22,5.880588531494141,92.7568868001302
22,2011-01-23,5.913620948791504,92.94605509440105
23,2011-01-24,5.946653366088867,93.13522338867188
24,2011-01-25,5.950525283813477,93.10370635986328
25,2011-01-26,6.036460876464844,93.59236907958984
26,2011-01-27,6.086784839630127,93.718505859375
27,2011-01-28,5.770910263061523,92.06329345703125
28,2011-01-29,5.813233057657878,92.29974365234375
29,2011-01-30,5.8555558522542315,92.53619384765625
30,2011-01-31,5.897878646850586,92.77264404296875
31,2011-02-01,6.174269199371338,94.22296142578125
32,2011-02-02,6.141753673553467,94.06532287597656
33,2011-02-03,6.1866559982299805,94.3017807006836
34,2011-02-04,6.234656810760498,94.55400085449219
35,2011-02-05,6.276980082194011,94.75367991129558
36,2011-02-06,6.3193033536275225,94.95335896809895
37,2011-02-07,6.361626625061035,95.15303802490234
38,2011-02-08,6.444466590881348,95.59442138671875
39,2011-02-09,6.407305717468262,95.35796356201172
40,2011-02-10,6.4181437492370605,95.38947296142578
41,2011-02-11,6.5396952629089355,95.98855590820312
42,2011-02-12,6.556211153666179,96.06738026936848
43,2011-02-13,6.572727044423421,96.14620463053386
44,2011-02-14,6.589242935180664,96.22502899169922
45,2011-02-15,6.525758266448975,95.87818145751953
46,2011-02-16,6.648080825805664,96.49300384521484
47,2011-02-17,6.713889122009277,96.85560607910156
48,2011-02-18,6.740985870361328,97.01323699951172
49,2011-02-19,6.636662125587463,96.51666831970215
50,2011-02-20,6.532338380813599,96.02009963989258
51,2011-02-21,6.428014636039734,95.52353096008301
52,2011-02-22,6.323690891265869,95.02696228027344
53,2011-02-23,6.202140808105469,94.49095153808594
54,2011-02-24,6.1874308586120605,94.3963623046875
55,2011-02-25,6.391820907592773,95.42105102539062
56,2011-02-26,6.432853539784749,95.61021931966145
57,2011-02-27,6.473886171976726,95.7993876139323
58,2011-02-28,6.514918804168701,95.98855590820312
59,2011-03-01,6.1866559982299805,94.34906768798828
60,2011-03-02,6.218398571014404,94.61705017089844
61,2011-03-03,6.5396952629089355,96.24075317382812
62,2011-03-04,6.406530380249023,95.53138732910156
63,2011-03-05,6.351820309956868,95.25288645426433
64,2011-03-06,6.297110239664714,94.97438557942708
65,2011-03-07,6.242400169372559,94.69588470458984
66,2011-03-08,6.405755996704102,95.57868194580078
67,2011-03-09,6.377884864807129,95.46835327148438
68,2011-03-10,6.028719902038574,93.718505859375
69,2011-03-11,6.141753673553467,94.34906768798828
70,2011-03-12,6.106656074523926,94.16515096028645
71,2011-03-13,6.071558475494385,93.98123423258464
72,2011-03-14,6.036460876464844,93.79731750488281
73,2011-03-15,5.847556114196777,92.75688934326172
74,2011-03-16,5.533229351043701,90.99128723144531
75,2011-03-17,5.715941905975342,92.12629699707031
76,2011-03-18,5.794137001037598,92.52040100097656
77,2011-03-19,5.882912000020345,92.98808034261067
78,2011-03-20,5.971686999003093,93.4557596842448
79,2011-03-21,6.06046199798584,93.9234390258789
80,2011-03-22,5.99542760848999,93.59236907958984
81,2011-03-23,6.046525955200195,93.89192962646484
82,2011-03-24,6.225367069244385,94.77468872070312
83,2011-03-25,6.286529541015625,95.05656433105469
84,2011-03-26,6.271303812662761,94.98794047037761
85,2011-03-27,6.2560780843098955,94.91931660970052
86,2011-03-28,6.240852355957031,94.85069274902344
87,2011-03-29,6.367819786071777,95.46827697753906
88,2011-03-30,6.510274410247803,96.11750030517578
89,2011-03-31,6.491693019866943,95.9908218383789
90,2011-04-01,6.572984218597412,96.43419647216797
91,2011-04-02,6.5794358253479,96.4500223795573
92,2011-04-03,6.585887432098389,96.46584828694661
93,2011-04-04,6.592339038848877,96.48167419433594
94,2011-04-05,6.592339038848877,96.48167419433594
95,2011-04-06,6.644211292266846,96.76673889160156
96,2011-04-07,6.591564655303955,96.5925521850586
97,2011-04-08,6.513370037078857,96.22834777832031
98,2011-04-09,6.493757247924805,96.11750793457031
99,2011-04-10,6.474144458770752,96.00666809082031
100,2011-04-11,6.454531669616699,95.89582824707031
101,2011-04-12,6.3027873039245605,95.1990737915039
102,2011-04-13,6.309754848480225,95.23074340820312
103,2011-04-14,6.326014518737793,95.24657440185547
104,2011-04-15,6.397240161895752,95.57910919189453
105,2011-04-16,6.323432604471843,95.23075103759766
106,2011-04-17,6.249625047047933,94.88239288330078
107,2011-04-18,6.175817489624023,94.5340347290039
108,2011-04-19,6.2725934982299805,95.11991882324219
109,2011-04-20,6.555176734924316,96.40251922607422
110,2011-04-21,6.649630546569824,96.83008575439453
111,2011-04-22,6.646146535873413,96.80633163452148
